id,name,age,gender,city,signup_weekday,purchases_count,total_spent,last_purchase_days_ago,product_category,coupon_used,referral,rating,event_clicks,converted,session_time_minutes
1,Ana,28,F,Madrid,Mon,2,120.50,35,A,True,friend,4.5,8,1,12.5
2,Beto,45,M,Barcelona,Tue,5,560.00,10,B,True,ad,5.0,25,1,48.0
3,Carla,22,F,Valencia,Wed,0,0.00,400,C,False,organic,,1,0,5.0
4,Diego,35,M,Sevilla,Thu,3,250.75,60,A,True,friend,3.0,12,1,30.0
5,Elena,31,F,Madrid,Fri,1,40.00,120,B,False,organic,4.0,4,0,10.0
6,Fernando,52,M,Bilbao,Sat,10,1200.00,5,B,True,ad,4.8,40,1,90.0
7,Gabriela,27,F,Granada,Sun,1,80.00,200,C,False,friend,3.5,3,0,7.5
8,Hugo,40,M,Madrid,Mon,4,330.20,25,A,True,ad,4.2,18,1,35.0
9,Irma,36,F,Valencia,Tue,2,210.00,90,B,True,organic,,6,1,22.0
10,Jon,29,M,Sevilla,Wed,1,95.00,300,C,True,friend,4.1,5,1,9.0
11,Karla,24,F,Bilbao,Thu,0,0.00,700,C,False,organic,3.8,0,0,4.0
12,Luis,50,M,Barcelona,Fri,7,760.00,15,B,True,ad,4.9,30,1,60.0
13,Mar,33,F,Madrid,Sat,3,199.99,45,A,False,organic,4.0,10,1,28.0
14,Nora,26,F,Valencia,Sun,1,55.00,260,C,True,friend,3.9,2,0,6.0
15,Omar,38,M,Zaragoza,Mon,6,420.00,20,A,False,ad,4.4,20,1,50.0
16,Paula,41,F,Madrid,Tue,4,380.00,80,B,True,organic,4.6,15,1,33.0
17,Quim,30,M,Sevilla,Wed,0,30.00,500,C,False,friend,,1,0,5.5
18,Rosa,47,F,Bilbao,Thu,8,610.00,12,B,True,ad,4.7,35,1,70.0
19,Sergio,23,M,Valencia,Fri,0,0.00,800,C,False,organic,3.2,0,0,3.5
20,Tania,34,F,Madrid,Sat,2,180.00,50,A,True,friend,4.1,9,1,20.0
21,Ulises,37,M,Zaragoza,Sun,3,210.00,40,B,True,ad,3.7,11,1,26.0
22,Valeria,29,F,Sevilla,Mon,1,99.99,220,C,True,organic,4.3,4,1,8.5
23,Will,42,M,Barcelona,Tue,9,700.00,8,B,True,ad,4.5,38,1,85.0
24,Ximena,25,F,Madrid,Wed,0,20.00,600,C,False,friend,3.6,1,0,4.5
25,Yoel,31,M,Valencia,Thu,2,140.00,110,A,True,organic,4.0,7,1,18.0
26,Zara,28,F,Bilbao,Fri,1,60.00,240,C,True,friend,3.8,2,0,6.5
27,Aldo,55,M,Sevilla,Sat,12,1500.00,2,B,True,ad,5.0,60,1,120.0
28,Blanca,49,F,Madrid,Sun,7,820.00,18,B,False,organic,4.6,28,1,55.0
29,Ciro,32,M,Zaragoza,Mon,2,200.00,95,A,False,friend,3.9,10,0,24.0
30,Dalia,21,F,Barcelona,Tue,0,0.00,900,C,False,organic,3.0,0,0,2.5
31,Enzo,44,M,Madrid,Wed,5,480.00,33,A,True,ad,4.4,22,1,42.0
32,Fabi,27,F,Valencia,Thu,1,75.00,210,C,True,friend,4.1,3,0,7.0
33,Gino,39,M,Bilbao,Fri,3,260.00,70,B,False,organic,3.9,9,1,27.0
34,Hilda,34,F,Sevilla,Sat,2,160.00,140,A,True,friend,4.2,6,1,16.0
35,Ivan,48,M,Zaragoza,Sun,8,950.00,7,B,True,ad,4.8,45,1,95.0
36,Julia,26,F,Madrid,Mon,1,45.00,310,C,False,organic,3.7,2,0,6.0
37,Kiko,33,M,Barcelona,Tue,2,135.00,130,A,False,friend,4.0,5,1,19.0
38,Laura,29,F,Bilbao,Wed,0,0.00,850,C,False,organic,3.5,0,0,3.0
39,Marco,36,M,Valencia,Thu,4,305.00,28,A,True,ad,4.3,14,1,32.0
40,Noa,22,F,Sevilla,Fri,0,15.00,420,C,False,friend,3.2,1,0,4.0
41,Omar2,39,M,Madrid,Sat,3,210.00,65,B,True,organic,4.1,11,1,25.0
42,Petra,45,F,Barcelona,Sun,6,490.00,21,B,True,ad,4.5,20,1,48.0
43,Queta,28,F,Zaragoza,Mon,1,85.00,170,C,True,friend,3.9,3,0,9.0
44,Rafa,30,M,Bilbao,Tue,2,175.00,115,A,False,organic,4.0,6,1,17.0
45,Sonia,46,F,Madrid,Wed,9,820.00,9,B,True,ad,4.7,36,1,80.0
46,Theo,24,M,Valencia,Thu,0,0.00,750,C,False,organic,2.9,0,0,3.0
47,Una,35,F,Sevilla,Fri,2,145.00,85,A,True,friend,4.1,8,1,21.0
48,Vic,51,M,Barcelona,Sat,11,1300.00,4,B,True,ad,4.9,50,1,110.0
49,Wendy,27,F,Madrid,Sun,1,95.00,230,C,True,organic,4.2,4,1,12.0
50,Xabi,32,M,Bilbao,Mon,2,205.00,55,A,False,friend,3.8,10,1,29.0
